lokacija;naziv
1;Gradovi
1;Muzeji
2;Znamenitosti
3;Znamenitosti
3;Jezera
3;Atraktivni kotički
4;Znamenitosti
5;Kopališča in terme
6;Znamenitosti
6;Muzeji
7;Atraktivni kotički
8;Kmetije
9;Kopališča in terme
10;Znamenitosti
11;Atraktivni kotički
12;Atraktivni kotički
13;Atraktivni kotički
14;Gorovja in hribovja
14;Jezera
15;Gradovi
16;Smučišča
16;Gorovja in hribovja
17;Kmetije
17;Atraktivni kotički
18;Atraktivni kotički
18;Muzeji
19;Kopališča in terme
20;Gradovi
20;Znamenitosti
21;Znamenitosti
21;Muzeji
22;Muzeji
22;Jame
23;Gorovja in hribovja
24;Atraktivni kotički
25;Atraktivni kotički
26;Jame
26;Muzeji
27;Atraktivni kotički
28;Atraktivni kotički
29;Kopališča in terme
30;Kmetije
31;Gradovi
31;Muzeji
32;Muzeji
32;Gradovi
33;Živalski parki, vrtovi
34;Muzeji
35;Atraktivni kotički
36;Kopališča in terme
36;Atraktivni kotički
37;Muzeji
38;Atraktivni kotički
39;Kopališča in terme
40;Muzeji
41;Muzeji
42;Živalski parki, vrtovi
43;Živalski parki, vrtovi
44;Naravne znamenitosti
4;Naravne znamenitosti
14;Naravne znamenitosti
26;Naravne znamenitosti
23;Naravne znamenitosti
45;Naravne znamenitosti
46;Smučišča
46;Naravne znamenitosti
46;Gorovja in hribovja
47;Naravne znamenitosti
47;Jame
48;Znamenitosti
49;Naravne znamenitosti
50;Jezera
51;Jezera
52;Gorovja in hribovja
53;Muzeji
54;Naravne znamenitosti
55;Gradovi
56;Naravne znamenitosti
57;Naravne znamenitosti
57;Jezera
57;Kopališča in terme
61;Smučišča
61;Gorovja in hribovja
61;Atraktivni kotički
60;Naravne znamenitosti
60;Jezera
59;Naravne znamenitosti
62;Jezera
62;Kopališča in terme
63;Kopališča in terme
63;Jezera
64;Znamenitosti
64;Muzeji
65;Naravne znamenitosti
66;Naravne znamenitosti
66;Atraktivni kotički
67;Atraktivni kotički
68;Muzeji
69;Kmetije
69;Atraktivni kotički
70;Atraktivni kotički
71;Muzeji
72;Jame
73;Znamenitosti
74;Znamenitosti
75;Atraktivni kotički
76;Atraktivni kotički
77;Kmetije
77;Atraktivni kotički
78;Kopališča in terme
78;Jezera
79;Kmetije
80;Kmetije
81;Muzeji
82;Kopališča in terme
83;Kopališča in terme
84;Atraktivni kotički
85;Atraktivni kotički
86;Gradovi
87;Gorovja in hribovja
88;Atraktivni kotički
89;Atraktivni kotički
90;Muzeji
91;Atraktivni kotički
92;Muzeji
93;Znamenitosti
94;Atraktivni kotički
95;Muzeji
96;Muzeji
97;Naravne znamenitosti
98;Kopališča in terme
99;Atraktivni kotički
100;Muzeji
101;Atraktivni kotički
102;Atraktivni kotički
103;Atraktivni kotički
104;Kopališča in terme
105;Muzeji
106;Naravne znamenitosti
108;Znamenitosti
109;Znamenitosti
110;Kopališča in terme
110;Znamenitosti
111;Jezera
111;Naravne znamenitosti
112;Znamenitosti
112;Gradovi
113;Kmetije
114;Naravne znamenitosti
114;Jame
115;Naravne znamenitosti
116;Muzeji
117;Naravne znamenitosti
117;Jame
118;Znamenitosti
118;Gradovi
119;Atraktivni kotički
